Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop
2010-07-31,3.558078642229409,0.8813735870195482,0.0,4.7217197,0.000934124,0.0018920898
2010-08-31,3.5624934195196363,0.8813735870195482,0.1,4.726373,0.0025687218,0.000934124
2010-09-30,3.5410273784044803,0.9503469298211391,0.1,4.730117,-0.0017819405,0.0025687218
2010-10-31,3.621437642448449,0.9503469298211391,-0.1,4.732421,0.0044355392,-0.0017819405
2010-11-30,3.645890092892566,1.0159731341796967,0.1,4.7372,-0.0020213127,0.0044355392
2010-12-31,3.698485190258631,1.0159731341796967,-0.1,4.7429457,0.006228924,-0.0020213127
2011-01-31,3.699506059216371,1.4436354751788134,0.8,4.7546234,-0.0008330345,0.006228924
2011-02-28,3.698084449938265,1.4436354751788134,-0.8,4.7683964,0.008443832,-0.0008330345
2011-03-31,3.831938451998062,1.4436354751788134,0.0,4.7667403,-0.011192322,0.008443832
2011-04-30,3.893952977780772,1.4436354751788134,0.0,4.763849,-0.01388216,-0.011192322
2011-05-31,3.8083148953935044,1.4436354751788134,0.0,4.75884,-0.002398491,-0.01388216
2011-06-30,3.757296849185471,1.4874828366412745,0.1,4.768003,-0.008597851,-0.002398491
2011-07-31,3.763983592929994,1.4874828366412745,-0.1,4.770604,0.010762215,-0.008597851
2011-08-31,3.642343432373135,1.4874828366412745,0.0,4.7736454,0.0058932304,0.010762215
2011-09-30,3.6317991754242147,1.3504407402749758,-0.3,4.775808,0.0057382584,0.0058932304
2011-10-31,3.6404255068461535,1.3504407402749758,0.3,4.7751913,-0.008859634,0.0057382584
2011-11-30,3.7563495389453276,1.3979983651114376,0.1,4.775327,0.0067982674,-0.008859634
2011-12-31,3.7700052275477294,1.3979983651114376,-0.1,4.771877,0.013243198,0.0067982674
2012-01-31,3.7840850903009327,1.3979983651114376,0.0,4.774193,0.0049419403,0.013243198
2012-02-29,3.801803409599163,1.3979983651114376,0.0,4.7819295,0.002585411,0.0049419403
2012-03-31,3.837521274960608,1.3979983651114376,0.0,4.784034,0.0032291412,0.002585411
2012-04-30,3.8085596720050425,1.3504407402749758,-0.1,4.779044,-0.0025362968,0.0032291412
2012-05-31,3.7234162437410943,1.3008204268406505,0.0,4.772037,0.0041418076,-0.0025362968
2012-06-30,3.585235737121928,1.3504407402749758,0.2,4.7780023,-0.009376049,0.0041418076
2012-07-31,3.6497812235070453,1.3504407402749758,-0.1,4.774007,-0.0023884773,-0.009376049
2012-08-31,3.7124429253250324,1.24898332790488,-0.2,4.775085,0.0025343895,-0.0023884773
2012-09-30,3.7136127136452486,1.3008204268406505,0.3,4.7720966,-0.00029087067,0.0025343895
2012-10-31,3.655014820242257,1.3008204268406505,-0.1,4.7686276,-0.0071163177,-0.00029087067
2012-11-30,3.6236675502409943,1.3008204268406505,0.0,4.773697,0.008169174,-0.0071163177
2012-12-31,3.6419699186782837,1.3008204268406505,0.0,4.7723413,0.006975651,0.008169174
2013-01-31,3.7104257910938063,1.3008204268406505,0.0,4.7755275,-0.0010967255,0.006975651
2013-02-28,3.7116418074799835,1.3008204268406505,0.0,4.779535,-0.008278847,-0.0010967255
2013-03-31,3.6903550183116542,1.350440740274976,0.1,4.779364,-0.0027666092,-0.008278847
2013-04-30,3.68185735465749,1.4436354751788136,0.1,4.7820635,0.0027680397,-0.0027666092
2013-05-31,3.710663536867923,1.4436354751788136,-0.2,4.7858834,0.0051727295,0.0027680397
2013-06-30,3.718779233061807,1.4874828366412745,0.1,4.7865953,-0.0016312599,0.0051727295
2013-07-31,3.8053735529645882,1.4874828366412745,-0.1,4.782316,0.0011920929,-0.0016312599
2013-08-31,3.8209786096992895,1.5296604950904071,0.1,4.788007,0.006587982,0.0011920929
2013-09-30,3.817970897345784,1.570278543484981,0.0,4.7926583,-0.003080368,0.006587982
2013-10-31,3.7618202602012323,1.570278543484981,-0.1,4.7957816,-0.006216049,-0.003080368
2013-11-30,3.6912261218574978,1.570278543484981,0.0,4.7942734,0.003501892,-0.006216049
2013-12-31,3.7279659552354403,1.570278543484981,0.0,4.799033,0.0038890839,0.003501892
