tau,h,coef,se
τ = 0.90,9,-0.08795879372292059,0.06043403247874674
τ = 0.90,10,-0.07944985512251578,0.07319767229290063
τ = 0.90,11,0.029276598644506997,0.08194113167165021
τ = 0.90,12,0.04037752937245692,0.0891919722707964
τ = 0.90,13,-0.0631724716528673,0.08080188793014513
τ = 0.90,14,-0.09320529089653985,0.10916243270961966
τ = 0.90,15,-0.15856951083523696,0.11732596253782324
τ = 0.90,16,-0.07421712933411304,0.09297590640841359
τ = 0.90,17,0.03441314331992826,0.11145127876390533
τ = 0.90,18,0.05404298142629921,0.117189816983914
τ = 0.90,19,0.11699822370070823,0.12857513769913634
τ = 0.90,20,0.150283042641016,0.13746477406614702
τ = 0.90,21,0.08599256061344286,0.1245790159042057
τ = 0.90,22,0.0432099836970856,0.1282463555665625
τ = 0.90,23,0.048822581089955706,0.12057398650463912
τ = 0.90,24,0.05626913833920769,0.13276753282215484
τ = 0.90,25,0.07650006584878115,0.13705980202073884
τ = 0.90,26,0.08122859554987594,0.16672040922762624
τ = 0.90,27,0.105438176761286,0.13488749037921352
τ = 0.90,28,0.2595368111097824,0.11922253391480275
τ = 0.90,29,0.21406638195534466,0.12474234542348668
τ = 0.90,30,0.3466754389378371,0.1315787125404198
τ = 0.90,31,0.08394483503695585,0.12612911270130114
τ = 0.90,32,0.20434020210060874,0.10996127906956712
τ = 0.90,33,0.19008311625807367,0.11283120824530449
τ = 0.90,34,0.1265102356150435,0.11231850272907673
τ = 0.90,35,0.178956767255986,0.1017602401959324
τ = 0.90,36,0.0673449938073827,0.12417619020467775
τ = 0.90,37,0.007074825432384443,0.10322598646892178
τ = 0.90,38,-0.00046865488373775717,0.11110083252701207
τ = 0.90,39,-0.03711063134521131,0.1194849066323019
τ = 0.90,40,0.08581654159028329,0.13208950468058428
τ = 0.90,41,-0.03169599796905936,0.1331545092465654
τ = 0.90,42,-0.07441287406832808,0.12808657073387408
τ = 0.90,43,-0.012180987455030965,0.13277321330849087
